location,block,pasture,livestock,patch,subpatch,date,plot,array,logger,TC,tempC,time,problematic
CGREC,BOB,NE,Cattle,NW,W,5-14-2019,3,3,4Y,3,217.75,18:19:44.0,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,1,1,8,1,304.5,12:53:41.0,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,1,1,8,2,334.5,12:53:36.1,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,1,1,8,3,177.25,12:54:21.0,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,1,2,3,1,475.25,12:53:33.0,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,1,2,3,2,470.75,12:53:34.0,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,1,2,3,3,448.75,12:53:31.0,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,1,3,6,1,,,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,1,3,6,2,,,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,1,3,6,3,,,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,2,1,2,1,302.25,13:14:39.0,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,2,1,2,2,342.25,13:14:27.0,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,2,1,2,3,482.25,13:14:30.0,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,2,2,1,1,,,
CGREC,BOB,NW,Cattle,NE,,5-3-2018,2,2,1,2,,,
